IX,IY,IZ,CU,AU,density,economic value process,economic value waste
1,17,9,0,0,2.26667,-299880,-55080
1,17,10,0,0,2.26667,-299880,-55080
1,17,11,0,0,2.26667,-299880,-55080
1,17,12,0,0,2.26667,-299880,-55080
1,17,13,0,0,2.26667,-299880,-55080
1,17,14,0,0,2.26667,-299880,-55080
1,17,15,0,0,0.444962,-58868.4,-10812.6
1,18,1,0,0,2.26667,-299880,-55080
1,18,2,0,0,2.26667,-299880,-55080
1,18,3,0,0,2.26667,-299880,-55080
1,18,4,0,0,2.26667,-299880,-55080
1,18,5,0,0,2.26667,-299880,-55080
1,18,6,0,0,2.26667,-299880,-55080
1,18,7,0,0,2.26667,-299880,-55080
1,18,8,0,0,2.26667,-299880,-55080
1,18,9,0,0,2.26667,-299880,-55080
1,18,10,0,0,2.26667,-299880,-55080
1,18,11,0,0,2.26667,-299880,-55080
1,18,12,0,0,2.26667,-299880,-55080
1,18,13,0,0,2.26667,-299880,-55080
1,18,14,0,0,2.26667,-299880,-55080
1,18,15,0,0,0.456934,-60452.3,-11103.5
1,19,1,0,0,2.26667,-299880,-55080
1,19,2,0,0,2.26667,-299880,-55080
1,19,3,0,0,2.26667,-299880,-55080
1,19,4,0,0,2.26667,-299880,-55080
1,19,5,0,0,2.26667,-299880,-55080
1,19,6,0,0,2.26667,-299880,-55080
1,19,7,0,0,2.26667,-299880,-55080
1,19,8,0,0,2.26667,-299880,-55080
1,19,9,0,0,2.26667,-299880,-55080
1,19,10,0,0,2.26667,-299880,-55080
1,19,11,0,0,2.26667,-299880,-55080
1,19,12,0,0,2.26667,-299880,-55080
1,19,13,0,0,2.26667,-299880,-55080
1,19,14,0,0,2.26667,-299880,-55080
1,19,15,0,0,0.459208,-60753.2,-11158.8
1,20,1,0,0,2.26667,-299880,-55080
1,20,2,0,0,2.26667,-299880,-55080
1,20,3,0,0,2.26667,-299880,-55080
1,20,4,0,0,2.26667,-299880,-55080
1,20,5,0,0,2.26667,-299880,-55080
1,20,6,0,0,2.26667,-299880,-55080
1,20,7,0,0,2.26667,-299880,-55080
1,20,8,0,0,2.26667,-299880,-55080
1,20,9,0,0,2.26667,-299880,-55080
1,20,10,0,0,2.26667,-299880,-55080
1,20,11,0,0,2.26667,-299880,-55080
1,20,12,0,0,2.26667,-299880,-55080
1,20,13,0,0,2.26667,-299880,-55080
1,20,14,0,0,2.26667,-299880,-55080
1,20,15,0,0,0.48123,-63666.7,-11693.9
1,21,1,0,0,2.26667,-299880,-55080
1,21,2,0,0,2.26667,-299880,-55080
1,21,3,0,0,2.26667,-299880,-55080
1,21,4,0,0,2.26667,-299880,-55080
1,21,5,0,0,2.26667,-299880,-55080
1,21,6,0,0,2.26667,-299880,-55080
1,21,7,0,0,2.26667,-299880,-55080
1,21,8,0,0,2.26667,-299880,-55080
1,21,9,0,0,2.26667,-299880,-55080
1,21,10,0,0,2.26667,-299880,-55080
1,21,11,0,0,2.26667,-299880,-55080
1,21,12,0,0,2.26667,-299880,-55080
1,21,13,0,0,2.26667,-299880,-55080
1,21,14,0,0,2.26667,-299880,-55080
1,21,15,0,0,0.515747,-68233.3,-12532.6
1,22,1,0,0,2.26667,-299880,-55080
1,22,2,0,0,2.26667,-299880,-55080
1,22,3,0,0,2.26667,-299880,-55080
1,22,4,0,0,2.26667,-299880,-55080
1,22,5,0,0,2.26667,-299880,-55080
1,22,6,0,0,2.26667,-299880,-55080
1,22,7,0,0,2.26667,-299880,-55080
1,22,8,0,0,2.26667,-299880,-55080
1,22,9,0,0,2.26667,-299880,-55080
1,22,10,0,0,2.26667,-299880,-55080
1,22,11,0,0,2.26667,-299880,-55080
1,22,12,0,0,2.26667,-299880,-55080
1,22,13,0,0,2.26667,-299880,-55080
1,22,14,0,0,2.26667,-299880,-55080
1,22,15,0,0,0.54819,-72525.5,-13321
1,23,1,0,0,2.26667,-299880,-55080
1,23,2,0,0,2.26667,-299880,-55080
1,23,3,0,0,2.26667,-299880,-55080
1,23,4,0,0,2.26667,-299880,-55080
1,23,5,0,0,2.26667,-299880,-55080
1,23,6,0,0,2.26667,-299880,-55080
1,23,7,0,0,2.26667,-299880,-55080
1,23,8,0,0,2.26667,-299880,-55080
1,23,9,0,0,2.26667,-299880,-55080
1,23,10,0,0,2.26667,-299880,-55080
1,23,11,0,0,2.26667,-299880,-55080
1,23,12,0,0,2.26667,-299880,-55080
1,23,13,0,0,2.26667,-299880,-55080
1,23,14,0,0,2.26667,-299880,-55080
1,23,15,0,0,0.544753,-72070.9,-13237.5
1,24,1,0,0,2.26667,-299880,-55080
1,24,2,0,0,2.26667,-299880,-55080
1,24,3,0,0,2.26667,-299880,-55080
1,24,4,0,0,2.26667,-299880,-55080
1,24,5,0,0,2.26667,-299880,-55080
1,24,6,0,0,2.26667,-299880,-55080
1,24,7,0,0,2.26667,-299880,-55080
1,24,8,0,0,2.26667,-299880,-55080
1,24,9,0,0,2.26667,-299880,-55080
1,24,10,0,0,2.26667,-299880,-55080
1,24,11,0,0,2.26667,-299880,-55080
1,24,12,0,0,2.26667,-299880,-55080
1,24,13,0,0,2.26667,-299880,-55080
1,24,14,0,0,2.26667,-299880,-55080
1,24,15,0,0,0.520874,-68911.7,-12657.2
1,25,1,0,0,2.26667,-299880,-55080
1,25,2,0,0,2.26667,-299880,-55080
1,25,3,0,0,2.26667,-299880,-55080
1,25,4,0,0,2.26667,-299880,-55080
1,25,5,0,0,2.26667,-299880,-55080
1,25,6,0,0,2.26667,-299880,-55080
1,25,7,0,0,2.26667,-299880,-55080
1,25,8,0,0,2.26667,-299880,-55080
1,25,9,0,0,2.26667,-299880,-55080
1,25,10,0,0,2.26667,-299880,-55080
1,25,11,0,0,2.26667,-299880,-55080
1,25,12,0,0,2.26667,-299880,-55080
1,25,13,0,0,2.26667,-299880,-55080
1,25,14,0,0,2.26667,-299880,-55080
1,25,15,0,0,0.496756,-65720.8,-12071.2
1,26,1,0,0,2.26667,-299880,-55080
1,26,2,0,0,2.26667,-299880,-55080
1,26,3,0,0,2.26667,-299880,-55080
1,26,4,0,0,2.26667,-299880,-55080
1,26,5,0,0,2.26667,-299880,-55080
1,26,6,0,0,2.26667,-299880,-55080
1,26,7,0,0,2.26667,-299880,-55080
1,26,8,0,0,2.26667,-299880,-55080
1,26,9,0,0,2.26667,-299880,-55080
1,26,10,0,0,2.26667,-299880,-55080
1,26,11,0,0,2.26667,-299880,-55080
1,26,12,0,0,2.26667,-299880,-55080
1,26,13,0,0,2.26667,-299880,-55080
1,26,14,0,0,2.26667,-299880,-55080
1,26,15,0,0,0.487723,-64525.7,-11851.7
1,27,1,0,0,2.26667,-299880,-55080
1,27,2,0,0,2.26667,-299880,-55080
1,27,3,0,0,2.26667,-299880,-55080
1,27,4,0,0,2.26667,-299880,-55080
1,27,5,0,0,2.26667,-299880,-55080
1,27,6,0,0,2.26667,-299880,-55080
1,27,7,0,0,2.26667,-299880,-55080
1,27,8,0,0,2.26667,-299880,-55080
1,27,9,0,0,2.26667,-299880,-55080
1,27,10,0,0,2.26667,-299880,-55080
1,27,11,0,0,2.26667,-299880,-55080
1,27,12,0,0,2.26667,-299880,-55080
1,27,13,0,0,2.26667,-299880,-55080
1,27,14,0,0,2.26667,-299880,-55080
1,27,15,0,0,0.541682,-71664.5,-13162.9
1,28,1,0,0,2.26667,-299880,-55080
1,28,2,0,0,2.26667,-299880,-55080
1,28,3,0,0,2.26667,-299880,-55080
1,28,4,0,0,2.26667,-299880,-55080
1,28,5,0,0,2.26667,-299880,-55080
1,28,6,0,0,2.26667,-299880,-55080
1,28,7,0,0,2.26667,-299880,-55080
1,28,8,0,0,2.26667,-299880,-55080
1,28,9,0,0,2.26667,-299880,-55080
1,28,10,0,0,2.26667,-299880,-55080
1,28,11,0,0,2.26667,-299880,-55080
1,28,12,0,0,2.26667,-299880,-55080
1,28,13,0,0,2.26667,-299880,-55080
1,28,14,0,0,2.26667,-299880,-55080
1,28,15,0,0,0.611843,-80946.9,-14867.8
1,29,1,0,0,2.26667,-299880,-55080
1,29,2,0,0,2.26667,-299880,-55080
1,29,3,0,0,2.26667,-299880,-55080
1,29,4,0,0,2.26667,-299880,-55080
1,29,5,0,0,2.26667,-299880,-55080
1,29,6,0,0,2.26667,-299880,-55080
1,29,7,0,0,2.26667,-299880,-55080
1,29,8,0,0,2.26667,-299880,-55080
1,29,9,0,0,2.26667,-299880,-55080
1,29,10,0,0,2.26667,-299880,-55080
1,29,11,0,0,2.26667,-299880,-55080
1,29,12,0,0,2.26667,-299880,-55080
1,29,13,0,0,2.26667,-299880,-55080
1,29,14,0,0,2.26667,-299880,-55080
1,29,15,0,0,0.683468,-90422.9,-16608.3
1,30,1,0,0,2.26667,-299880,-55080
1,30,2,0,0,2.26667,-299880,-55080
1,30,3,0,0,2.26667,-299880,-55080
1,30,4,0,0,2.26667,-299880,-55080
1,30,5,0,0,2.26667,-299880,-55080
1,30,6,0,0,2.26667,-299880,-55080
1,30,7,0,0,2.26667,-299880,-55080
1,30,8,0,0,2.26667,-299880,-55080
1,30,9,0,0,2.26667,-299880,-55080
1,30,10,0,0,2.26667,-299880,-55080
1,30,11,0,0,2.26667,-299880,-55080
1,30,12,0,0,2.26667,-299880,-55080
1,30,13,0,0,2.26667,-299880,-55080
1,30,14,0,0,2.26667,-299880,-55080
1,30,15,0,0,0.757515,-100219,-18407.6
1,31,1,0,0,2.26667,-299880,-55080
1,31,2,0,0,2.26667,-299880,-55080
1,31,3,0,0,2.26667,-299880,-55080
1,31,4,0,0,2.26667,-299880,-55080
1,31,5,0,0,2.26667,-299880,-55080
1,31,6,0,0,2.26667,-299880,-55080
1,31,7,0,0,2.26667,-299880,-55080
1,31,8,0,0,2.26667,-299880,-55080
1,31,9,0,0,2.26667,-299880,-55080
1,31,10,0,0,2.26667,-299880,-55080
1,31,11,0,0,2.26667,-299880,-55080
1,31,12,0,0,2.26667,-299880,-55080
1,31,13,0,0,2.26667,-299880,-55080
1,31,14,0,0,2.26667,-299880,-55080
1,31,15,0,0,0.829159,-109698,-20148.6
1,32,1,0,0,2.26667,-299880,-55080
1,32,2,0,0,2.26667,-299880,-55080
1,32,3,0,0,2.26667,-299880,-55080
1,32,4,0,0,2.26667,-299880,-55080
1,32,5,0,0,2.26667,-299880,-55080
1,32,6,0,0,2.26667,-299880,-55080
1,32,7,0,0,2.26667,-299880,-55080
1,32,8,0,0,2.26667,-299880,-55080
1,32,9,0,0,2.26667,-299880,-55080
1,32,10,0,0,2.26667,-299880,-55080
1,32,11,0,0,2.26667,-299880,-55080
1,32,12,0,0,2.26667,-299880,-55080
1,32,13,0,0,2.26667,-299880,-55080
1,32,14,0,0,2.26667,-299880,-55080
1,32,15,0,0,0.900226,-119100,-21875.5
1,33,1,0,0,2.26667,-299880,-55080
1,33,2,0,0,2.26667,-299880,-55080
1,33,3,0,0,2.26667,-299880,-55080
1,33,4,0,0,2.26667,-299880,-55080
1,33,5,0,0,2.26667,-299880,-55080
1,33,6,0,0,2.26667,-299880,-55080
1,33,7,0,0,2.26667,-299880,-55080
1,33,8,0,0,2.26667,-299880,-55080
1,33,9,0,0,2.26667,-299880,-55080
1,33,10,0,0,2.26667,-299880,-55080
1,33,11,0,0,2.26667,-299880,-55080
1,33,12,0,0,2.26667,-299880,-55080
1,33,13,0,0,2.26667,-299880,-55080
1,33,14,0,0,2.26667,-299880,-55080
1,33,15,0,0,0.950444,-125744,-23095.8
1,34,1,0,0,2.26667,-299880,-55080
1,34,2,0,0,2.26667,-299880,-55080
1,34,3,0,0,2.26667,-299880,-55080
1,34,4,0,0,2.26667,-299880,-55080
1,34,5,0,0,2.26667,-299880,-55080
1,34,6,0,0,2.26667,-299880,-55080
1,34,7,0,0,2.26667,-299880,-55080
1,34,8,0,0,2.26667,-299880,-55080
1,34,9,0,0,2.26667,-299880,-55080
1,34,10,0,0,2.26667,-299880,-55080
1,34,11,0,0,2.26667,-299880,-55080
1,34,12,0,0,2.26667,-299880,-55080
1,34,13,0,0,2.26667,-299880,-55080
1,34,14,0,0,2.26667,-299880,-55080
1,34,15,0,0,0.986475,-130511,-23971.3
1,35,1,0,0,2.26667,-299880,-55080
1,35,2,0,0,2.26667,-299880,-55080
1,35,3,0,0,2.26667,-299880,-55080
1,35,4,0,0,2.26667,-299880,-55080
1,35,5,0,0,2.26667,-299880,-55080
1,35,6,0,0,2.26667,-299880,-55080
1,35,7,0,0,2.26667,-299880,-55080
1,35,8,0,0,2.26667,-299880,-55080
1,35,9,0,0,2.26667,-299880,-55080
1,35,10,0,0,2.26667,-299880,-55080
1,35,11,0,0,2.26667,-299880,-55080
1,35,12,0,0,2.26667,-299880,-55080
1,35,13,0,0,2.26667,-299880,-55080
1,35,14,0,0,2.26667,-299880,-55080
1,35,15,0,0,1.03266,-136620,-25093.5
1,36,1,0,0,2.26667,-299880,-55080
1,36,2,0,0,2.26667,-299880,-55080
1,36,3,0,0,2.26667,-299880,-55080
1,36,4,0,0,2.26667,-299880,-55080
1,36,5,0,0,2.26667,-299880,-55080
1,36,6,0,0,2.26667,-299880,-55080
1,36,7,0,0,2.26667,-299880,-55080
1,36,8,0,0,2.26667,-299880,-55080
1,36,9,0,0,2.26667,-299880,-55080
1,36,10,0,0,2.26667,-299880,-55080
1,36,11,0,0,2.26667,-299880,-55080
1,36,12,0,0,2.26667,-299880,-55080
1,36,13,0,0,2.26667,-299880,-55080
1,36,14,0,0,2.26667,-299880,-55080
1,36,15,0,0,1.07632,-142397,-26154.5
1,37,1,0,0,2.26667,-299880,-55080
1,37,2,0,0,2.26667,-299880,-55080
1,37,3,0,0,2.26667,-299880,-55080
1,37,4,0,0,2.26667,-299880,-55080
1,37,5,0,0,2.26667,-299880,-55080
1,37,6,0,0,2.26667,-299880,-55080
1,37,7,0,0,2.26667,-299880,-55080
1,37,8,0,0,2.26667,-299880,-55080
1,37,9,0,0,2.26667,-299880,-55080
1,37,10,0,0,2.26667,-299880,-55080
1,37,11,0,0,2.26667,-299880,-55080
1,37,12,0,0,2.26667,-299880,-55080
1,37,13,0,0,2.26667,-299880,-55080
1,37,14,0,0,2.26667,-299880,-55080
1,37,15,0,0,1.1389,-150676,-27675.1
1,38,1,0,0,2.26667,-299880,-55080
1,38,2,0,0,2.26667,-299880,-55080
1,38,3,0,0,2.26667,-299880,-55080
1,38,4,0,0,2.26667,-299880,-55080
1,38,5,0,0,2.26667,-299880,-55080
1,38,6,0,0,2.26667,-299880,-55080
1,38,7,0,0,2.26667,-299880,-55080
1,38,8,0,0,2.26667,-299880,-55080
1,38,9,0,0,2.26667,-299880,-55080
1,38,10,0,0,2.26667,-299880,-55080
1,38,11,0,0,2.26667,-299880,-55080
1,38,12,0,0,2.26667,-299880,-55080
1,38,13,0,0,2.26667,-299880,-55080
1,38,14,0,0,2.26667,-299880,-55080
1,38,15,0,0,1.17367,-155276,-28520.1
1,39,1,0,0,2.26667,-299880,-55080
1,39,2,0,0,2.26667,-299880,-55080
1,39,3,0,0,2.26667,-299880,-55080
1,39,4,0,0,2.26667,-299880,-55080
1,39,5,0,0,2.26667,-299880,-55080
1,39,6,0,0,2.26667,-299880,-55080
1,39,7,0,0,2.26667,-299880,-55080
1,39,8,0,0,2.26667,-299880,-55080
1,39,9,0,0,2.26667,-299880,-55080
1,39,10,0,0,2.26667,-299880,-55080
1,39,11,0,0,2.26667,-299880,-55080
1,39,12,0,0,2.26667,-299880,-55080
1,39,13,0,0,2.26667,-299880,-55080
1,39,14,0,0,2.26667,-299880,-55080
1,39,15,0,0,1.10036,-145578,-26738.8
1,40,1,0,0,2.26667,-299880,-55080
1,40,2,0,0,2.26667,-299880,-55080
1,40,3,0,0,2.26667,-299880,-55080
1,40,4,0,0,2.26667,-299880,-55080
1,40,5,0,0,2.26667,-299880,-55080
1,40,6,0,0,2.26667,-299880,-55080
1,40,7,0,0,2.26667,-299880,-55080
1,40,8,0,0,2.26667,-299880,-55080
1,40,9,0,0,2.26667,-299880,-55080
1,40,10,0,0,2.26667,-299880,-55080
1,40,11,0,0,2.26667,-299880,-55080
1,40,12,0,0,2.26667,-299880,-55080
1,40,13,0,0,2.26667,-299880,-55080
1,40,14,0,0,2.26667,-299880,-55080
1,40,15,0,0,0.998902,-132155,-24273.3
1,41,1,0,0,2.26667,-299880,-55080
1,41,2,0,0,2.26667,-299880,-55080
1,41,3,0,0,2.26667,-299880,-55080
1,41,4,0,0,2.26667,-299880,-55080
1,41,5,0,0,2.26667,-299880,-55080
1,41,6,0,0,2.26667,-299880,-55080
1,41,7,0,0,2.26667,-299880,-55080
1,41,8,0,0,2.26667,-299880,-55080
1,41,9,0,0,2.26667,-299880,-55080
1,41,10,0,0,2.26667,-299880,-55080
1,41,11,0,0,2.26667,-299880,-55080
